,V=0,V=0.1,V=0.2,V=0.3,V=0.4,V=0.5,V=0.6,V=0.7,V=0.8,V=0.9,V=1.0
time_average,0.14433157444000244,0.15519586205482483,0.1557323932647705,0.09467805176973343,0.0787990614771843,0.09095637500286102,0.040994156152009964,0.03933097794651985,0.049350690096616745,0.039520516991615295,0.022497201338410378
sum,7.244875431060791,7.745179176330566,7.839388847351074,4.738288879394531,3.9441003799438477,4.592851161956787,2.03129506111145,1.967016577720642,2.444683790206909,1.9859038591384888,1.1339397430419922
max,0.3462430238723755,0.3213330805301666,0.2709251642227173,0.17493318021297455,0.1515786200761795,0.18404929339885712,0.16282981634140015,0.08498383313417435,0.12960992753505707,0.09756938368082047,0.05063068866729736
gap,0.1697714477777481,0.15104997158050537,0.09043194353580475,0.0802927017211914,0.0655319094657898,0.06898466497659683,0.07941406220197678,0.038969360291957855,0.06524573266506195,0.04847690090537071,0.024931233376264572
