,V=0,V=0.1,V=0.2,V=0.3,V=0.4,V=0.5,V=0.6,V=0.7,V=0.8,V=0.9,V=1.0
time_average,7.144840240478516,7.64932918548584,7.825381278991699,4.699262619018555,3.943835496902466,4.775234222412109,2.2011170387268066,2.08447003364563,2.6053764820098877,2.3422834873199463,1.2838358879089355
sum,357.24200439453125,382.4664611816406,391.2690734863281,234.963134765625,197.1917724609375,238.76171875,110.05585479736328,104.22350311279297,130.26882934570312,117.11417388916016,64.1917953491211
max,16.945035934448242,16.041683197021484,13.152814865112305,8.600591659545898,7.437948703765869,9.097448348999023,8.785956382751465,4.90226936340332,6.992237091064453,5.988748550415039,3.011168956756592
gap,8.228142738342285,7.582557678222656,4.446252822875977,3.8976266384124756,3.201680898666382,3.532362461090088,4.3305745124816895,2.1750311851501465,3.3697352409362793,2.8556275367736816,1.4208920001983643
