,V=0_mean,V=0_std,V=0.1_mean,V=0.1_std,V=0.2_mean,V=0.2_std,V=0.3_mean,V=0.3_std,V=0.4_mean,V=0.4_std,V=0.5_mean,V=0.5_std,V=0.6_mean,V=0.6_std,V=0.7_mean,V=0.7_std,V=0.8_mean,V=0.8_std,V=0.9_mean,V=0.9_std,V=1.0_mean,V=1.0_std
time_average,0.0002738293610659807,2.8706400945287726e-05,0.00022317621915135533,3.931861425385403e-05,0.00020144636333879818,5.545386808644534e-05,0.000173840640877362,3.514828184566283e-05,0.00015429689638376995,3.19702783208491e-05,0.00014710650546835552,3.2744146978441e-05,9.609172317410682e-05,3.2965721000271104e-05,9.309470687308752e-05,1.1252794870678914e-05,9.56150485122904e-05,2.739400561924668e-05,6.951032102935844e-05,2.0684344207694747e-05,7.415865592868355e-05,1.148715626298799e-05
sum,0.013691778329235536,0.0014355863136647196,0.011158873407561103,0.001965612617724894,0.010072346357053813,0.002772956127920419,0.008692218065491798,0.0017576570304829139,0.007714918302946988,0.0015983763599049957,0.007355233332441177,0.001636999887311043,0.004804585065784646,0.001648344650758905,0.004654684173012221,0.0005627067657022423,0.004780774838348598,0.0013698270142558388,0.003475606090814611,0.0010341515521736832,0.0037079212502978834,0.0005744421182296228
max,0.000537188472168773,0.00010657078917790665,0.0004628776945604908,0.00012651369450104212,0.0004031009387144428,8.617912059198723e-05,0.00036853967330786457,5.927477663293692e-05,0.00030319307615296387,6.615443827816962e-05,0.0003316293378579028,5.0133698112774196e-05,0.00023175082623995956,7.072766076280224e-05,0.00022918197960897498,5.278556835327408e-05,0.0002110460054497292,4.0890006816135814e-05,0.00017459402433927113,4.4447561303895016e-05,0.0001910309595441055,3.476709555015467e-05
gap,0.0002545223127257217,5.329411804267655e-05,0.00021882757762257284,6.099946413955975e-05,0.00018560531549874324,3.6973080607973245e-05,0.00017054068581431092,2.645787117110247e-05,0.00013425596307008815,2.5813742679965783e-05,0.00015209164875731976,2.7316745788793945e-05,0.00010782144683482195,3.27582461971008e-05,0.00010680470487712251,2.5233672205253463e-05,9.57616971896237e-05,1.4321095174229306e-05,8.093811346851807e-05,2.1495204964737724e-05,8.944034521442113e-05,1.8620927321226515e-05
